user_id,cuisine
user0,Bilirazan
user0,German
user0,Lebanese
user0,Maharashtrian
user0,Zanzibari
user0,Arab
user1,Bashkir
user1,Georgian
user1,Zambian
user1,Pennsylvania Dutch
user1,Russian
user1,Portuguese
user2,Mediterranean cuisine
user2,Buddhist
user2,Peranakan
user3,Jamaican
user3,Sri Lankan
user3,Japanese
user3,Mediterranean cuisine
user4,Texan
user5,Soviet
user5,Chechen
user5,Laotian
user5,Tatar
user5,Québécois
user6,Mennonite
user6,Estonian
user6,Azerbaijani
user6,Crimean Tatar
user6,Pakistani
user6,Bengali
user6,Assyrian
user7,Caribbean
user7,French
user7,New Mexican
user7,German
user7,Brazilian
user7,Awadhi
user7,Egyptian
user7,Lithuanian
user7,Pakistani
user7,Czech
user7,Native American
user7,Greek
user7,Crimean Tatar
user8,New Mexican
user8,Korean
user9,Zambian
user9,Gujarati
user9,Bulgarian
user9,Chinese Islamic
user9,Cypriot
user9,Odia
user9,Chechen
user9,Portuguese
user9,Malaysian Indian cuisine
user10,Inuit
user10,Awadhi
user10,Lithuanian
user10,Balochi
user10,Sami
user10,French
user10,Tamil
user10,Malay
user10,Punjabi
user10,Laotian
user10,Pakistani
user11,South Indian
user11,Nepalese
user11,Danish
user11,Andhra
user11,Mangalorean
user11,Pakistani
user11,Persian
user11,French
user12,Keralite
user12,German
user12,Zambian
user13,Russian
user13,Greek
user14,Ukrainian
user14,Québécois
user14,Malay
user14,Korean
user14,Parsi
user14,Bashkir
user14,Caribbean
user14,Greek
user14,Indian Singaporean cuisine
user14,British
user15,Filipino
user15,Greek
user15,Berber
user15,Tamil
user16,Punjabi
user16,Polish
user16,Korean
user16,Lebanese
user17,Persian
user17,Udupi
user17,Cantonese
user17,Anglo-Indian
user17,Native American
user18,Awadhi
user18,Irish
user18,Italian cuisine
user18,Malaysian Chinese cuisine
user18,Georgian
user18,Sri Lankan
user19,Texan
user19,Assyrian
user19,Sri Lankan
user19,Armenian
user19,Anglo-Indian
user19,Japanese
user20,Taiwanese
user20,Argentine
user20,Romanian
user20,Buddhist
user20,Danish
user20,Lebanese
user20,Sami
user20,Mennonite
user20,Tamil
user21,German
